I0510 11:30:09.192860  2838 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._w from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:30:09.196203  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._w from 192.168.1.5:40714: '200 OK' after 8.82918ms
I0510 11:30:19.225014  2840 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._y from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:30:19.226176  2835 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._y from 192.168.1.5:40714: '200 OK' after 3.02003ms
I0510 11:30:29.251668  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._10 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:30:29.252846  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._10 from 192.168.1.5:40714: '200 OK' after 3.04717ms
I0510 11:30:39.273547  2840 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._12 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:30:39.274746  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._12 from 192.168.1.5:40714: '200 OK' after 3.02413ms
I0510 11:30:49.301646  2841 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._14 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:30:49.302922  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._14 from 192.168.1.5:40714: '200 OK' after 3.12218ms
I0510 11:30:59.328999  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._16 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:30:59.331513  2835 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._16 from 192.168.1.5:40714: '200 OK' after 6.46093ms
I0510 11:31:09.363780  2841 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._18 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:09.366719  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._18 from 192.168.1.5:40714: '200 OK' after 7.90093ms
I0510 11:31:19.391156  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._1a from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:19.392253  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._1a from 192.168.1.5:40714: '200 OK' after 2.9801ms
I0510 11:31:29.407989  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._1c from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:29.409092  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._1c from 192.168.1.5:40714: '200 OK' after 2.94912ms
I0510 11:31:39.441037  2835 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._1e from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:39.442312  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._1e from 192.168.1.5:40714: '200 OK' after 3.04102ms
I0510 11:31:40.426559  2838 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40964 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:40.427623  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40964: '200 OK' after 2.784ms
I0510 11:31:49.250279  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40964 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:49.251464  2836 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40964: '200 OK' after 2.83187ms
I0510 11:31:59.275259  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._2 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:31:59.276523  2837 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._2 from 192.168.1.5:40714: '200 OK' after 5.41312ms
I0510 11:32:09.295199  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._4 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:32:09.297879  2836 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._4 from 192.168.1.5:40714: '200 OK' after 7.24096ms
I0510 11:32:19.315820  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._6 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:32:19.317100  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._6 from 192.168.1.5:40714: '200 OK' after 4.4352ms
I0510 11:32:29.329694  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._8 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:32:29.333168  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._8 from 192.168.1.5:40714: '200 OK' after 8.36096ms
